Date,Close
2010-01-04,1625.65
2010-01-05,1616.8
2010-01-06,1638.5
2010-01-07,1648.7
2010-01-08,1639.8
2010-01-11,1629.45
2010-01-12,1583.85
2010-01-13,1571.3
2010-01-14,1573.55
2010-01-15,1570.4
2010-01-18,1562.5
2010-01-19,1559.95
2010-01-20,1563.45
2010-01-21,1539.55
2010-01-22,1514.3
2010-01-25,1532.05
2010-01-27,1523.4
2010-01-28,1526.0
2010-01-29,1520.45
2010-02-01,1540.75
2010-02-02,1540.15
2010-02-03,1564.8
2010-02-04,1561.3
2010-02-05,1559.95
2010-02-06,1561.9
2010-02-08,1529.1
2010-02-09,1530.4
2010-02-10,1561.05
2010-02-11,1578.85
2010-02-15,1578.95
2010-02-16,1569.3
2010-02-17,1584.45
2010-02-18,1580.35
2010-02-19,1651.55
2010-02-22,1680.25
2010-02-23,1711.35
2010-02-24,1710.2
2010-02-25,1722.8
2010-02-26,1709.9
2010-03-02,1707.1
2010-03-03,1710.0
2010-03-04,1739.55
2010-03-05,1741.8
2010-03-08,1772.55
2010-03-09,1750.95
2010-03-10,1767.65
2010-03-11,1744.95
2010-03-12,1729.4
2010-03-15,1697.55
2010-03-16,1696.75
2010-03-17,1692.3
2010-03-18,1702.05
2010-03-19,1725.2
2010-03-22,1742.15
2010-03-23,1745.9
2010-03-25,1748.35
2010-03-26,1748.85
2010-03-29,1757.85
2010-03-30,1772.3
2010-03-31,1778.0
2010-04-01,1768.85
2010-04-05,1785.1
2010-04-06,1762.85
2010-04-07,1760.95
2010-04-08,1770.05
2010-04-09,1780.25
2010-04-12,1789.75
2010-04-13,1801.1
2010-04-15,1810.2
2010-04-16,1827.8
2010-04-19,1851.6
2010-04-20,1863.05
2010-04-21,1917.3
2010-04-22,1905.15
2010-04-23,1898.6
2010-04-26,1883.75
2010-04-27,1885.45
2010-04-28,1897.1
2010-04-29,1882.8
2010-04-30,1912.95
2010-05-03,1898.5
2010-05-04,1888.65
2010-05-05,1945.6
2010-05-06,1985.3
2010-05-07,1942.8
2010-05-10,1996.1
2010-05-11,1997.8
2010-05-12,2057.75
2010-05-13,2132.4
2010-05-14,2140.0
2010-05-17,2160.45
2010-05-18,2174.4
2010-05-19,2064.3
2010-05-20,2085.55
2010-05-21,2043.95
2010-05-24,2025.9
2010-05-25,2008.95
2010-05-26,2008.35
2010-05-27,1981.1
2010-05-28,1995.9
2010-05-31,2107.95
2010-06-01,2087.9
2010-06-02,2107.85
2010-06-03,2080.45
2010-06-04,2035.2
2010-06-07,2030.6
2010-06-08,2028.55
2010-06-09,2103.2
2010-06-10,2106.3
2010-06-11,2076.9
2010-06-14,2076.2
2010-06-15,2077.5
2010-06-16,2084.7
2010-06-17,2096.7
2010-06-18,2084.95
2010-06-21,2123.25
2010-06-22,2097.6
2010-06-23,2119.55
2010-06-24,2141.9
2010-06-25,2174.55
2010-06-28,2193.2
2010-06-29,2218.25
2010-06-30,2183.95
2010-07-01,2188.6
2010-07-02,2160.2
2010-07-05,2169.4
2010-07-06,2135.2
2010-07-07,2133.4
2010-07-08,2137.2
2010-07-09,2110.05
2010-07-12,2085.6
2010-07-13,2047.3
2010-07-14,2088.4
2010-07-15,2074.15
2010-07-16,2068.9
2010-07-19,2047.9
2010-07-20,2026.9
2010-07-21,2030.95
2010-07-22,2029.9
2010-07-23,2076.75
2010-07-26,2065.05
2010-07-27,2060.0
2010-07-28,2064.55
2010-07-29,2023.3
2010-07-30,2010.8
2010-08-02,2014.85
2010-08-03,2003.0
2010-08-04,1998.15
2010-08-05,2012.15
2010-08-06,2018.05
2010-08-09,1995.35
2010-08-10,1990.35
2010-08-11,1958.25
2010-08-12,1950.4
2010-08-13,1961.8
2010-08-16,1945.05
2010-08-17,1961.55
2010-08-18,1943.7
2010-08-19,1976.0
2010-08-20,2017.05
2010-08-23,1971.8
2010-08-24,1945.65
2010-08-25,1889.8
2010-08-26,1873.45
2010-08-27,1872.85
2010-08-30,1894.0
2010-08-31,1860.7
2010-09-01,1880.25
2010-09-02,1906.7
2010-09-03,1916.4
2010-09-06,1916.85
2010-09-07,1916.8
2010-09-08,1918.35
2010-09-09,1916.8
2010-09-13,1953.85
2010-09-14,1938.5
2010-09-15,1928.35
2010-09-16,1916.8
2010-09-17,1956.3
2010-09-20,2026.9
2010-09-21,2070.25
2010-09-22,2087.3
2010-09-23,2084.8
2010-09-24,2112.75
2010-09-27,2157.1
2010-09-28,2158.65
2010-09-29,2240.95
2010-09-30,2209.95
2010-10-01,2251.05
2010-10-04,2301.8
2010-10-05,2285.15
2010-10-06,2290.5
2010-10-07,2275.05
2010-10-08,2293.4
2010-10-11,2286.15
2010-10-12,2288.85
2010-10-13,2295.05
2010-10-14,2305.1
2010-10-15,2300.75
2010-10-18,2351.2
2010-10-19,2353.0
2010-10-20,2361.1
2010-10-21,2352.7
2010-10-22,2348.0
2010-10-25,2352.35
2010-10-26,2308.8
2010-10-27,2261.9
2010-10-28,2258.9
2010-10-29,2222.45
2010-11-01,2199.05
2010-11-02,2240.85
2010-11-03,2220.1
2010-11-04,2224.6
2010-11-05,2276.1
2010-11-08,2293.5
2010-11-09,2302.1
2010-11-10,2255.75
2010-11-11,2254.5
2010-11-12,2228.3
2010-11-15,2233.05
2010-11-16,2270.35
2010-11-18,2277.2
2010-11-19,2227.7
2010-11-22,2261.85
2010-11-23,2240.4
2010-11-24,2208.5
2010-11-25,2098.05
2010-11-26,2107.25
2010-11-29,2118.15
2010-11-30,2130.6
2010-12-01,2170.25
2010-12-02,2163.8
2010-12-03,2131.25
2010-12-06,2131.35
2010-12-07,2150.9
2010-12-08,2146.25
2010-12-09,2130.55
2010-12-10,2135.85
2010-12-13,2156.2
2010-12-14,2196.4
2010-12-15,2193.0
2010-12-16,2195.05
2010-12-20,2201.85
2010-12-21,2200.25
2010-12-22,2201.4
2010-12-23,2205.3
2010-12-24,2212.1
2010-12-27,2226.9
2010-12-28,2238.75
2010-12-29,2281.3
2010-12-30,2324.9
2010-12-31,2337.5
2011-01-03,2342.6
2011-01-04,2347.8
2011-01-05,2381.75
2011-01-06,2400.2
2011-01-07,2376.75
2011-01-10,2390.1
2011-01-11,2383.6
2011-01-12,2391.7
2011-01-13,2343.35
2011-01-14,2331.35
2011-01-17,2314.95
2011-01-18,2313.7
2011-01-19,2301.95
2011-01-20,2257.1
2011-01-21,2280.6
2011-01-24,2241.4
2011-01-25,2269.6
2011-01-27,2234.75
2011-01-28,2278.55
2011-01-31,2284.65
2011-02-01,2265.0
2011-02-02,2257.35
2011-02-03,2242.2
2011-02-04,2230.35
2011-02-07,2233.5
2011-02-08,2241.75
2011-02-09,2197.8
2011-02-10,2210.55
2011-02-11,2213.9
2011-02-14,2201.1
2011-02-15,2222.3
2011-02-16,2218.5
2011-02-17,2230.95
2011-02-18,2221.7
2011-02-21,2233.35
2011-02-22,2235.9
2011-02-23,2221.65
2011-02-24,2218.9
2011-02-25,2221.35
2011-02-28,2208.55
2011-03-01,2198.05
2011-03-03,2178.0
2011-03-04,2166.55
2011-03-07,2149.6
2011-03-08,2162.1
2011-03-09,2182.75
2011-03-10,2187.75
2011-03-11,2171.95
2011-03-14,2122.4
2011-03-15,2085.4
2011-03-16,2045.25
2011-03-17,2099.3
2011-03-18,2039.8
2011-03-21,2043.5
2011-03-22,2039.75
2011-03-23,2024.75
2011-03-24,2096.2
2011-03-25,2097.45
2011-03-28,2097.35
2011-03-29,2080.45
2011-03-30,2095.45
2011-03-31,2062.95
2011-04-01,2090.9
2011-04-04,2121.55
2011-04-05,2112.55
2011-04-06,2129.9
2011-04-07,2148.85
2011-04-08,2177.9
2011-04-11,2147.75
2011-04-13,2134.55
2011-04-15,2104.9
2011-04-18,2120.4
2011-04-19,2119.0
2011-04-20,2114.15
2011-04-21,2111.55
2011-04-25,2109.0
2011-04-26,2115.0
2011-04-27,2193.9
2011-04-28,2227.9
2011-04-29,2257.65
2011-05-02,2273.0
2011-05-03,2292.5
2011-05-04,2336.0
2011-05-05,2255.65
2011-05-06,2294.35
2011-05-09,2293.4
2011-05-10,2303.9
2011-05-11,2334.2
2011-05-12,2340.45
2011-05-13,2339.5
2011-05-16,2372.2
2011-05-17,2359.9
2011-05-18,2335.4
2011-05-19,2320.15
2011-05-20,2333.6
2011-05-23,2333.55
2011-05-24,2341.35
2011-05-25,2339.3
2011-05-26,2328.65
2011-05-27,2336.8
2011-05-30,2312.2
2011-05-31,2321.5
2011-06-01,2360.65
2011-06-02,2366.7
2011-06-03,2394.55
2011-06-06,2369.0
2011-06-07,2359.3
2011-06-08,2360.05
2011-06-09,2364.7
2011-06-10,2402.3
2011-06-13,2433.2
2011-06-14,2434.45
2011-06-15,2445.2
2011-06-16,2459.9
2011-06-17,2350.85
2011-06-20,2327.6
2011-06-21,2320.75
2011-06-22,2317.45
2011-06-23,2316.85
2011-06-24,2338.5
2011-06-27,2326.55
2011-06-28,2331.95
2011-06-29,2357.4
2011-06-30,2350.15
2011-07-01,2346.1
2011-07-04,2356.1
2011-07-05,2335.55
2011-07-06,2331.7
2011-07-07,2353.15
2011-07-08,2318.15
2011-07-11,2329.4
2011-07-12,2330.35
2011-07-13,2325.85
2011-07-14,2326.3
2011-07-15,2345.15
2011-07-18,2301.25
2011-07-19,2311.2
2011-07-20,2297.15
2011-07-21,2320.45
2011-07-22,2316.05
2011-07-25,2345.4
2011-07-26,2315.5
2011-07-27,2302.6
2011-07-28,2381.1
2011-07-29,2344.9
2011-08-01,2307.35
2011-08-02,2292.25
2011-08-03,2275.6
2011-08-04,2280.95
2011-08-05,2200.9
2011-08-08,2136.55
2011-08-09,2112.15
2011-08-10,2118.45
2011-08-11,2158.45
2011-08-12,2139.65
2011-08-16,2135.45
2011-08-17,2147.9
2011-08-18,2151.95
2011-08-19,2146.45
2011-08-22,2158.2
2011-08-23,2166.35
2011-08-24,2149.65
2011-08-25,2104.7
2011-08-26,2125.25
2011-08-29,2108.4
2011-08-30,2119.6
2011-09-02,2130.6
2011-09-05,2129.9
2011-09-06,2130.75
2011-09-07,2123.35
2011-09-08,2117.15
2011-09-09,2094.35
2011-09-12,2076.95
2011-09-13,2059.7
2011-09-14,2043.85
2011-09-15,2059.55
2011-09-16,2052.75
2011-09-19,2067.6
2011-09-20,2058.5
2011-09-21,2069.75
2011-09-22,2051.35
2011-09-23,2004.65
2011-09-26,2022.8
2011-09-27,2064.8
2011-09-28,2093.95
2011-09-29,2085.8
2011-09-30,2091.0
2011-10-03,2098.95
2011-10-04,2100.4
2011-10-05,2091.7
2011-10-07,2098.85
2011-10-10,2083.25
2011-10-11,2059.55
2011-10-12,2047.05
2011-10-13,2058.25
2011-10-14,2061.95
2011-10-17,2075.05
2011-10-18,2071.25
2011-10-19,2093.35
2011-10-20,2091.4
2011-10-21,2106.05
2011-10-24,2087.2
2011-10-25,2097.45
2011-10-26,2102.9
2011-10-28,2120.65
2011-10-31,2057.6
2011-11-01,2103.5
2011-11-02,2102.55
2011-11-03,2085.95
2011-11-04,2113.5
2011-11-08,2045.25
2011-11-09,2007.75
2011-11-11,2027.65
2011-11-14,2029.7
2011-11-15,2003.55
2011-11-16,1983.2
2011-11-17,1993.45
2011-11-18,1998.75
2011-11-21,1968.65
2011-11-22,1950.75
2011-11-23,1902.5
2011-11-24,1949.8
2011-11-25,1967.2
2011-11-28,1953.7
2011-11-29,1943.55
2011-11-30,1917.1
2011-12-01,1900.15
